"Payment ID","Payment Date","IO Type","Sender Amt ($)","Payment Rail","Customer Type","LIC","Sender Name","Sender Account #","Receiver Name","Receiver Account #","Status","STP?","Creation Date Time (EST)"
290164,"2025-07-04 00:00:00","OUT",29,"RTP","Corporate",,"CRM User","110088","KokilaRTPTemp","112233","PROCESSED","STP_YES","07/04/2025 01:32:41"
290165,"2025-07-04 00:00:00","OUT",30,"RTP","Corporate",,"CRM User","110088","KokilaRTPTemp","112233","REVERSAL_ACCEPTED","STP_YES","07/04/2025 01:37:07"
290169,"2025-07-04 00:00:00","IN",30,"RTP","Corporate",,"KokilaRTPTemp","112233","CRM User","110088","PROCESSED","STP_YES","07/04/2025 01:44:12"
290170,"2025-07-04 00:00:00","IN",47911.58,"RTP","Corporate",,"MRS. GREEN","US88664715164441","CRM User","110088","PROCESSED","STP_YES","07/04/2025 01:45:12"
290174,"2025-07-04 00:00:00","IN",32147.63,"RTP","Corporate",,"MRS. GREEN","US88664715164441","CRM User","110088","PROCESSED","STP_YES","07/04/2025 01:51:23"
290183,"2025-07-04 00:00:00","OUT",22,"ACH","Consumer",,"Steve","7890001222","SakshiD","112233","PROCESSED","STP_YES","07/04/2025 02:23:06"
290186,"2025-07-04 00:00:00","OUT",22,"FEDWIRE","Corporate","CTRC","AUTOMATION-BLOCK-PAYMENT","9901020021","DO NOT TOUCH","7418529333","PROCESSED","STP_YES","07/04/2025 02:29:14"
290187,"2025-07-04 00:00:00","IN",65,"ACH","Corporate",,"FinzlyCorp1",,"Greenleaf DSP3","9901020001","PROCESSED","STP_YES","07/04/2025 02:29:58"
290188,"2025-07-04 00:00:00","IN",70,"ACH","Corporate",,"FinzlyCorp1","9901020001","Greenleaf DSP3","9901020001","PROCESSED","STP_NO","07/04/2025 02:29:58"
290189,"2025-07-04 00:00:00","OUT",46.22,"FEDWIRE","Corporate","CTRC","AUTOMATION-CORP-ENTITY","9901020020","AUTOMATION-CONS-ENTITY","9870001006","PROCESSED","STP_YES","07/04/2025 02:33:28"
290190,"2025-07-04 00:00:00","IN",37901.54,"RTP","Corporate",,"MRS. GREEN","US88664715164441","CRM User","110088","PROCESSED","STP_YES","07/04/2025 02:40:17"
290192,"2025-07-04 00:00:00","OUT",1500.25,"FEDWIRE","Consumer","BTRC","John6 Doe6","0124578969",,"","PROCESSED","STP_YES","07/04/2025 02:41:24"
290193,"2025-07-04 00:00:00","OUT",37.98,"SWIFT","Corporate",,"Bentley Automobiles","7890001235","Cedric Gregory","123456789012","PROCESSED","STP_YES","07/04/2025 02:42:30"
290194,"2025-07-04 00:00:00","OUT",5.5,"FEDWIRE","Corporate","CTRC","Feddex","9901020002","United Beneficiary","98445631","RETURN_INITIATED","STP_YES","07/04/2025 02:43:37"
290199,"2025-07-04 00:00:00","OUT",58,"RTP","Corporate",,"CRM User","110088","KokilaRTPTemp","112233","PROCESSED","STP_YES","07/04/2025 02:54:57"
290200,"2025-07-04 00:00:00","OUT",6.6,"FEDWIRE","Corporate","CTRC","Feddex","9901020002","United Beneficiary","98445631","RETURN_INITIATED","STP_YES","07/04/2025 02:58:31"
290202,"2025-07-04 00:00:00","OUT",50,"RTP","Corporate",,"CRM User","110088","KokilaRTPTemp","112233","PROCESSED","STP_YES","07/04/2025 03:05:00"
290205,"2025-07-04 00:00:00","OUT",15,"BOOK_TRANSFER","Corporate",,"Greenleaf DSP3","9901020001","File Clearing Suspense","50000002","PROCESSED","STP_YES","07/04/2025 03:18:08"
290210,"2025-07-04 00:00:00","OUT",40.72,"FEDWIRE","Corporate","DRRC","InCorrect Downstream Partner","9901020008","Automation Downstream Partner","5432","PROCESSED","STP_YES","07/04/2025 03:23:21"
290213,"2025-07-04 00:00:00","OUT",14.27,"FEDWIRE","Corporate","DRRC","Automation Downstream Partner","9901020008","InCorrect Downstream Partner","5432","PROCESSED","STP_YES","07/04/2025 03:31:33"
290215,"2025-07-04 00:00:00","OUT",21.96,"FEDWIRE","Consumer","CTRC","John Doe","112266","test 9901020301","9901020301","PROCESSED","STP_YES","07/04/2025 03:33:17"
290218,"2025-07-04 00:00:00","OUT",29.88,"FEDWIRE","Corporate","CTRC","AUTOMATION-CORP-ENTITY","9870001005","AUTOMATION-CONS-ENTITY","9870001006","PROCESSED","STP_YES","07/04/2025 03:40:46"
290219,"2025-07-04 00:00:00","OUT",39.23,"FEDWIRE","Corporate","CTRC","AUTOMATION-BLOCK-PAYMENT","741852964","DO NOT TOUCH","7418529333","PROCESSED","STP_NO","07/03/2025 23:44:18"
290227,"2025-07-04 00:00:00","OUT",15.27,"FEDWIRE","Corporate","CTRC","AUTOMATION-CORP-ENTITY","9901020020","Office expenses account","15115","PROCESSED","STP_YES","07/04/2025 00:04:56"
